label,count
Bajo aislamiento,1
Fallo en el interlock,1
Acumulación de Material,1
Desajuste en el sistema,1
Interferencia de señal,1
Desviación de medición,1
corte de suministro eléctrico,1
Falla por termocupla,1
Fisura en componente,1
Bajo flujo,1
Fallo en el sistema de cierre,1
Fallo en el sistema de emergencia,1
om duplicada,1
bajo nivel compartimiento,1
Baja eficiencia,1
Fuga en sistema contra incendios,1
Presión diferencial alta,1
Fuga en bridas,1
Grietas,1
Falla en tarjeta electrónica,1
Falla en válvula de corte,1
Goteo de crudo,1
Falla en elastómero,1
Inestabilidad del sistema,1
Defecto en la indicación del sistema,1
Falla en compresor,1
Bajo voltaje,1
Fluctuación de señal,1
Falla en spool,1
Fuga en red de contraincendio,1
Falla en sistema de temperatura,1
Falla en sistema de enfriamiento,1
Fuga en volanta,1
rotura en la etapa de regulación,1
verificación pase de crudo válvula,1
alarma en esdv del sistema de recibo,1
arnes desajustado unidad ge-22010,1
el diafragma se encontró dañado,1
rev. tge-10 por falla señales de pres. t,1
fuga por poro,1
válvula abierta en falla,1
falla selector auto-man bomba bu-59100,1
falsa alarma en el tt,1
falla cheque salida bomba electrosumerg,1
Fallo de componentes,1
Falla en la soldadura,1
Falta de piezas,1
Falla en el relé,1
Falla en el variador,1
Falla en regulador,1
Desajuste de racor,1
Exposición a intemperie,1
Fuga en intercambiador,1
Falla en módulo de ignición,1
Falta de manómetro,1
Falla en el sistema de bypass,1
Fallo en el suministro eléctrico,1
Fallo en el condensador,1
Fallo en el sistema de activación,1
Fuga en visor,1
cambio de componente,1
revisar transmisores de nivel,1
electronica descontinuada,1
vanes desgastados,1
mal operado la logica,1
Falla en suministro de energía,1
Falla en sistema de señal,1
Falla en el sistema de espuma,1
Falla en el sistema de regulación,1
Fallas en el motor,1
Cambio erróneo de configuración,1
Consumo excesivo,1
Falla en filtro,1
Falla en tubería,1
Fuga de gas,1
Error de señal,1
Fuga por goteo en el medidor,1
Fuga por daño en el tanque,1
Fuga por daño en válvulas,1
Mal contacto en el selector,1
Falla en el sistema de CCTV,1
Desviación en parámetros de operación,1
Fallo en la alimentación,1
Fallo en la toma de muestras,1
Fallo en el sistema de puesta a tierra,1
Baterías agotadas,1
Fallo en el sistema de grabación,1
Ruptura del material,1
falla apertura mov,1
falla bomba inyección,1
falla sobre voltaje,1
extractores baja tension,1
Problemas en la transmisión de datos,1
Fugas en racores,1
Falta de fijación,1
Fuga por daño en la brida,1
Fuga en la línea de entrada,1
Fuga en el sistema de válvula,1
Fuga por daño en el medidor,1
Fuga por daño en el agitador,1
Falta de extensión,1
Falla de encendido,1
Falla del compresor,1
Falla en el regulador,1
Fallo en la válvula de seguridad,1
No operatividad del equipo,1
Falla en el sistema de despacho,1
Fuga por daño en la válvula,1
Falla en la planta de tratamiento,1
Fuga de agua en el sistema,1
Fallo en la válvula reductora,1
Falla en el inversor,1
Fallo en el sistema de aire comprimido,1
Condición de cambio en el sistema,1
Fallo en el vástago o o-ring,1
Falla en el sistema de crudo combustible,1
Fuga en la red de servicio,1
Desbalance o vibración en el motor,1
Falla no identificada,1
Fallo en la estanqueidad del agitador,1
Fallo en el sistema de alivio,1
Fuga por testigos de la válvula,1
Fugas en la toma de muestras,1
Fugas en accesorios,1
Cambio en el rango de configuración,1
Falla en el switch de alta,1
Falla en el sistema de agitador,1
Fuga en el sistema de hidrante,1
Fuga en el sistema de bomba,1
Fuga en el sistema de red contraincendio,1
Falla en el indicador de evento,1
Falla en el sistema de variador,1
Falla en el transductor de señal,1
Desajuste en la tapa del sistema,1
Falla en el indicador de diagnóstico,1
Condiciones de proceso anormales,1
Fisura o rotura en el medidor,1
Sedimentos o bloqueo en la válvula,1
Lectura anormal en el sistema,1
Sulfatación del módulo,1
Mal estado en instrumento,1
Fugas en válvulas,1
Bajo aislamiento del motor,1
Mal estado del sistema,1
Filtración,1
Fallo en batería,1
Fallo en balanceo,1
Fallo en bomba,1
Falla en el sistema de bombeo o en el motor,1
Falla en el motor o en el sistema de bombeo,1
Daño considerable en componentes mecánicos,1
Falla en la celda de báscula,1
Falla en las baterías del sistema,1
Fuga en la válvula de cierre,1
Desajuste en el sistema de apertura,1
Falla en el sistema de mando,1
Inestabilidad en la frecuencia de salida del generador,1
Falla en el cilindro,1
Falla en el flotador,1
Falla en el tanque,1
Falla en el sistema de centrifugado,1
Falla en la unidad motor-bomba,1
Daño en la infraestructura,1
Batería agotada o en mal estado,1
Falla en la tubería,1
Falla en los componentes mecánicos,1
Inestabilidad en el flujo o presión,1
Falla en el filtro por saturación,1
Daño en la tarjeta de potencia,1
Borra de crudo,1
Falla en el sistema de separación,1
Sedimentos en el sistema,1
Ausencia de componentes de seguridad,1
Fugas en componentes del sistema,1
Variabilidad en condiciones de operación,1
Falla en el sistema de regulación de presión,1
Humedecimiento en la unión del medidor,1
Ruptura de la correa,1
Daño en componentes internos (vane perforados),1
Falla en la electrónica del transmisor,1
Error en configuración o programación del HMI,1
Falla en la centrifuga,1
Falla en la tarjeta de regulación,1
Fallo en el sistema de centrifugado,1
Falla en el rectificador,1
Desajuste en la rosca,1
Daño en el visor de nivel,1
Desajuste en pernos de uniones bridadas,1
Falla en el filtro (fisurado),1
Filtro saturado o en mal estado,1
Bloqueo por válvulas,1
Daño en el tornillo,1
Módulo fuera de servicio,1
Falla en el brazo de medición,1
Falla en las piezas mecánicas,1
Falla en la configuración del probador,1
switch de alto nivel activando,1
falla bb combust motor,1
Cierre de válvula,1
Falla de contacto,1
Falla de bomba,1
Rotura de componentes,1
RPM elevados en el motor,1
Falla en el sistema de A/C,1
Bajo voltaje en el sistema,1
Falla en el empalme previo,1
Daño en el contactor principal,1
Falla en el módulo de activación del detector,1
Falla en el sistema de crudo,1
Falta de material en bodega,1
Baja eficiencia en el sistema,1
Fuga de nitrógeno por tubing,1
Falla en la ventilación,1
Falla en el sistema de vacío,1
Falla en el vaso,1
Falta de agua en el equipo,1
Daño en la válvula neumática,1
Falla estructural (fisura o rotura),1
Falla en la toma de muestra,1
Daño en las condiciones locativas,1
Falla en el manómetro de succión,1
Falla en el sistema de ventilación,1
Falla en el sistema de reposición de agua,1
Falla en el sistema de tomamuestra,1
Falla en el indicador de gas,1
Falla en los amortiguadores,1
Falla en el sistema de energía,1
Falla en el sistema de tubing,1
Falla en el indicador de energía,1
Falla en el filtro combustible,1
Falla en el regulador de agua,1
Falla en la integridad del material,1
Falta de flujo o daño en componentes,1
Humedecimiento en el sistema,1
Daño en el tubing o válvula,1
Daño en el filtro del sistema,1
Falla de PLC,1
Fallo en el sistema de telemetría,1
Fallo en el medidor de flujo,1
daño en válvula,1
alta temperatura,1
alta vibración,1
daño en kit,1
falla en rele,1
Falla en el sistema de telemetría,1
Falla estructural en la manguera,1
Falla en el banco de baterías,1
Desajuste en la válvula de seguridad,1
Desajuste en la tornillería de la válvula,1
Daño en el vástago de la válvula,1
Falla en el sistema de cámaras o en el indicador,1
Ajuste incorrecto de contactos,1
Falta de líquido en el tanque,1
Fuga en sistema de crudo,1
Desbalance en el ventilador,1
Falla en señalización de emergencia,1
Fuga en bomba de diafragma,1
Aislamiento deteriorado,1
Fallo en señal,1
Fallo en el ensamblaje,1
Fallo intermitente,1
Mala manipulación de válvulas,1
Desajuste en la pieza mecánica,1
Bloqueo en la tubería,1
Bloqueo en el filtro,1
Desbalance en el generador,1
Fisura estructural,1
Fallo en la integridad del material,1
Falla en el PLC,1
Daño en manguera flexible,1
Falla en la sujeción de la tubería eléctrica,1
Deriva o fallo en la termocupla,1
Daño interno en la válvula,1
Pérdida de señal en el sistema de pesaje,1
Falla estructural en el medidor,1
Daño físico en la estructura del pórtico,1
Fallo en el sistema de alumbrado,1
Anomalía eléctrica en el sistema,1
Daño en componentes del secador,1
Ruptura en la manguera,1
Fallo en el medidor de caudal,1
Desajuste en componentes,1
Fallo en el ventilador,1
Fallo en el instrumento de medición,1
Fuga o daño en el sistema de hidroflow,1
Daño considerable en el componente,1
Daño en el gear box,1
Daño considerable en el medidor,1
Daño considerable en la manguera,1
Daño en la válvula reguladora,1
Enclavamiento de señal,1
Falla en el sistema de transferencia,1
Daño en el soporte de la bomba,1
Falla en la tarjeta principal del probador,1
Falla electrónica en el viscosímetro,1
Falla en el rotor,1
Falla en el sistema de espumas,1
Falla en el sistema de aire,1
Falla electrónica en el transmisor,1
Falla en la ubicación del instrumento,1
Corto en transformador de potencia,1
Fallo en la configuración del sistema de alarma,1
Daño en el o-ring,1
Acumulación de lodo o sedimento,1
Fallo en el indicador del sistema,1
Fuga en el sistema de aire,1
Fuga en ducto de enfriamiento,1
Falla en el mecanismo de operación de la válvula,1
Atascamiento en la separadora,1
Daño en el manómetro del regulador,1
Falla en el sistema de UPS,1
Falla en el reconectador,1
Falla en el transmisor o interferencia en la señal,1
Error en la configuración del sistema,1
Desajuste en el fitting de venteo,1
Falla en el sistema radar,1
Componente roto,1
Fallo del contactor,1
Humedecimiento en componentes,1
Desajuste o daño en la válvula,1
Falta de datos específicos sobre el sistema,1
Condensación o fuga de fluidos,1
Desajuste en los topes de ajuste de la válvula,1
Pérdida de capacidad de la batería,1
Falla en el mecanismo de muestreo,1
Daño estructural en la bomba,1
Falla en el sistema de filtrado,1
Falla en el sistema de venteo,1
Falla en los detectores de gas,1
Falla en el transmisor de flujo,1
Falla en el transductor,1
Falla en la bomba de agua,1
Daño en ventiladores,1
Falla en la unidad compresora,1
Presurización del sistema,1
Falla en el indicador de presión,1
Falla en el sistema de línea de vida,1
Problemas en la acometida eléctrica,1
Falla en el regulador de voltaje o componentes eléctricos,1
Fallo en el sistema de válvula de seguridad,1
Fuera de límites,1
falla en el sistema de activación,1
set de operación,1
Oscilación de señal,1
Fallo en el motor de arranque,1
Falla en el sistema lógico,1
Desviación de parámetro,1
Falla en el estado de la válvula,1
daño en motor,1
daño en el lazo,1
daño en pulsador,1
vibración alta,1
falla en el sistema,1
unidad a reemplazar,1
pitting en tubería,1
Fuga por busther,1
Vibraciones generadas,1
Ruptura del resorte,1
Falla estructural en el generador,1
Falta de refrigerante o falla en el sistema,1
Falla en la red eléctrica o suministro,1
Falla en el transmisor de pulso,1
Falla en las bombas de filtros,1
Fractura en el perno,1
Falla en el pulsador,1
Falla en el ventilador,1
Daño en la trampa,1
Falla en el indicador de la bomba,1
Daño en el display,1
Desajuste por desmonte,1
Mal empalme de proyectos,1
Desajuste en resortes,1
Daño en la manguera hidráulica,1
Falla en el sistema de sincronización,1
Fisura en el plato lateral de la bomba,1
desajuste en impeler,1
daño en tarjeta,1
falla en sistema,1
falla en medidor,1
falla en válvulas,1
Falla en las correas,1
Ajustes en componentes,1
Falla en el módulo de potencia,1
Pérdida de aislamiento en conductores,1
Falla en la esfera del probador,1
Correa dañada,1
Baja potencia en el motor,1
Falla en la corneta de emergencia,1
Falla en el cilindro hidráulico,1
Falla en la línea de agua,1
Falla en la trampa de recibo,1
Falla en el sistema de presión diferencial,1
Falla en el módulo de medición,1
Falla en el cuerpo de la válvula,1
Falla en la tarjeta principal,1
Daño en la línea de agua potable,1
Fallo en componentes eléctricos,1
Batería en mal estado,1
Falla en el sistema electrónico,1
Problemas en la fuente de alimentación,1
Deformación o daño en la tubería,1
Fuga o evaporación de agua,1
Falla en el instrumento de nivel,1
Falla en el detector de llama,1
Falla en el sistema de inyección,1
Falla en el sistema de soporte,1
Falla en el sistema de dosificación,1
Falla en la termocupla,1
Falla en la botella hidráulica,1
Falla en el pasador de piñón,1
Falla en el contacto eléctrico,1
Atascamiento por sólidos en el sistema,1
Falla en la CPU,1
Falla en la toma de muestras,1
Alta corriente en el sistema,1
Cristalización de O-ring,1
Fisura o rotura en el tanque,1
Daño en la bomba de agua,1
Alta temperatura en el VFD,1
Fractura en el racor,1
Desviación en la lectura de presión,1
Falla en la acometida,1
Forzado de señal,1
Problemas en el sistema de señalización,1
Pérdida de estado,1
Falla en el módulo de conmutación,1
Fuga en el sistema de exosto,1
Grietas o fracturas en componentes,1
Falla en el carro VFD,1
Falla en el puente grúa,1
Falla en el comando del sistema,1
Falla en el indicador del agitador,1
Falla en el volante mecánico,1
Ruptura en la tubería capilar,1
Falta de material o suministro,1
Desajuste de límites,1
Falla estructural en el tanque,1
Fuga en el sistema de transmisión,1
Daño en las baterías de respaldo,1
Falla en el generador auxiliar,1
Falla en el sistema de presión de nitrógeno,1
Fuga en el switch de flujo,1
Falla mecánica no especificada,1
Fallo en la válvula de alivio,1
Error en el reporte de falla,1
Falla en el mecanismo interno del brazo,1
Desajuste en la unión bridada,1
Desviación en la señal,1
Falla en el módulo separador de crudo,1
Protecciones disparadas,1
Señal DCS y OMNI no coherente,1
Fallo del regulador de presión o desajuste,1
Falla en el cargador,1
Falla en el material aislante,1
Falta de información sobre el probador,1
Falta de información sobre la botella de nitrógeno,1
Falta de información sobre la bomba,1
Falla en el radar del tanque,1
Fuga en la toma de muestra,1
Daño en la rosca del motor,1
Falla en la señal de transmisión,1
Falla en la electrónica del VFD,1
Falla en el transmisor o RTD,1
Falla en la bomba de diafragma,1
Falla en el radar de nivel,1
Falla en la tapa del gearbox,1
Daño estructural en el tanque (fisura o rotura),1
Falla en la bomba de posfiltración,1
Falla en el indicador de batería,1
Daño en las tomas de corriente,1
Falla en el sistema de mezcla,1
Falla en el sistema de aislamiento,1
Falla en el sistema de compresor,1
Falla en el motor-bomba,1
Desajuste en las piezas mecánicas,1
Falla en la manguera de combustible,1
Daño en generador,1
Fuga en válvula de alivio,1
Falla en válvula de alivio,1
Daño en tubería de línea de alta,1
Fuga en sistema de recirculación,1
Falla en la estopa,1
Falla en termopares,1
Falla en el compresor o restricción en el sistema,1
Falla en el compresor de A/A,1
Daño en la carcasa del filtro,1
Falla en el indicador de señales del generador,1
Datos insuficientes para análisis,1
Inestabilidad en la frecuencia,1
Falla en válvula de cheque,1
Fuga o daño en el sistema,1
Falla en la pinza SCULLY,1
Problemas en el suministro eléctrico,1
Restricción en el tubing,1
Problemas en la entrada de voltaje,1
Fallo en el sistema de generación,1
Componentes mecánicos atascados,1
Problemas en el sistema de visualización,1
Fuga en tubería,1
Falla en el sistema estructural,1
Daño en el techo,1
Falta de ajuste en la válvula,1
Fallo por acumulación de residuos o agentes internos,1
Atascamiento en válvula,1
Daño en bomba,1
Lectura anormal del instrumento,1
Fuga en generador,1
Daño en tapa de reservorio,1
Fugas por daño en la válvula,1
Daño físico en componentes,1
bomba operando en vacío,1
falla medidor,1
cambio de a.a.,1
agua en recipiente,1
fuga de aire,1
Falla en el sistema de alimentación eléctrica,1
Grasa del vástago en mal estado,1
Falla en el sistema de contención,1
Falla en el sistema de nivel,1
Daño en la celda de carga,1
Daño en la tarjeta,1
Falla en el sistema de agente limpio,1
Falla en la bomba de succión,1
Daño en la prensa estopa,1
Falla en los filtros primarios de combustible,1
Falla en el ensamblaje de la manguera,1
Falla en el ensamblaje del reservorio,1
Falla en el sistema de tratamiento de crudo,1
Falla estructural en el equipo,1
Fallo en la pinza SCULLY,1
Desviación de parámetros de operación,1
Desbalance en parámetros eléctricos,1
Falla en el termopar,1
Falla en el relay,1
Falla en el sistema de gas,1
Interferencia en el sistema,1
Saturación del sistema,1
Falla en la lógica del sistema,1
Falla en el tiempo de apertura/cierre,1
Fugas por daño en la bomba,1
Daño en el material del tanque,1
Falla en el relé o en la indicación del sistema,1
Fallo en módulos o detectores,1
Batería degradada,1
Falla del detector de gas,1
Falta de refrigerante o flujo insuficiente,1
Falla en el indicador de arranque,1
Daño en la tapa de la válvula,1
Falta de eficiencia en la bomba,1
Falla en la excitación del generador,1
Desajuste en bandas de los rodillos,1
Fuga en la válvula neumática,1
Daño en la caja de sumidero,1
Falla en el módulo de señal,1
Pérdida de aislamiento en conductores eléctricos,1
Falla en la señal del RTD,1
Electrónica en mal estado,1
Alta vibración en cojinete,1
Fisura y rotura,1
Agente Interno,1
Repetidores en falla,1
Fallo en los soportes,1
Fallo en la señal de demanda,1
Fallo en el indicador de disparo,1
Falla en los componentes internos,1
Falla en la brida,1
Falla en la estructura del contenedor,1
Atasco en la succión,1
Falla en el conversor,1
Atasco en el motor,1
Falla en las bombillas,1
Falla en el sistema de lavado,1
Goteo leve en el sistema,1
Exceso de presión de aire,1
Oscilaciones en la señal del transmisor,1
Pitting en la tubería,1
Falta de información sobre el estado del sistema,1
Atascamiento en componentes internos,1
Falla en la frecuencia de salida,1
Falla en la bomba dosificadora de cloro,1
Cumplimiento del ciclo de vida del material,1
Batería agotada,1
filtro obstruido,1
fuga en tanque,1
Acumulación de sedimentos o residuos,1
Desviación de parámetros operativos,1
Desajuste de rosca,1
Señales alarmadas,1
Información insuficiente sobre el sellado,1
Fisura en la soldadura,1
Información insuficiente sobre el relé,1
Falla en la secuencia del sistema,1
Información insuficiente sobre la alarma,1
Información insuficiente sobre el nivel,1
Información insuficiente sobre el medidor,1
Falla en la electrónica del generador,1
Falla en el inversor interno,1
Acumulación de sedimentos o material,1
Falla en la fuente de alimentación o regulador,1
Falla en el transmisor de nivel del tanque,1
Falla en los internos de la válvula,1
