equipo,Centro planif.,Ubicac.técnica,Denominación,Denominación.1,Activo fijo,Orden,Perfil catálogo,id_aviso,tipo_mantenimiento,descripcion,Fecha de aviso,Grupo códigos,TextoGrpPartObj,Cód.parte obj.,TextoCódPartObj,Grupo códigos.1,Código averia,TextoCódProblem,Causas avería,Causa,Txt. cód. mot.,causa_falla,fecha_inicio,hora_inicio,fecha_fin,hora_fin,Parada,duracion,Status sistema,Indicador ABC,fecha_inicio_dt,fecha_fin_dt,duracion_horas
20005136,CVA,OC-TER-CVA-SCIN-ES,ESPUMA CONTRAINCENDIOS,MOTOR DIESEL SIST ESPUMA,42005149.0,10048559.0,S_FE,236470,m2,corrosion en estructura base bomba sci,25/09/2025,PO-I-020,Sub. Externo,I026,Pedestal / Soporte,SA-R-PU,STD1,"Daño material, grietas, desgaste, corr.",,0,,nan,25/09/2025,7:07:04,,0:00:00,X,0,METR ORAS,4,2025-09-25 07:07:04,,0.0
20024003,CVA,OC-TER-CVA-SCIN-AU,AGUA CONTRAINCENDIOS,TUBERIA ENTRADA AGUA IND ODC-OCENSA,,10048562.0,S_FE,236464,m2,rociadores anillo refrigeracion tk12010,25/09/2025,PO-R-090,Sub. Refrigeración,R095,Tubería / Válvulas,SA-I-PI,PLU3,Obstrucción Tubería por Agente Interno,,0,,nan,25/09/2025,6:12:16,,0:00:00,X,0,METR ORAS,4,2025-09-25 06:12:16,,0.0
20024003,CVA,OC-TER-CVA-SCIN-AU,AGUA CONTRAINCENDIOS,TUBERIA ENTRADA AGUA IND ODC-OCENSA,,10048563.0,S_FE,236466,m2,rociadores obstruidos del tk-12020,25/09/2025,PO-E-110,Sub. Refrigeración,E114,Tubería,SA-I-PI,PLU3,Obstrucción Tubería por Agente Interno,,0,,nan,25/09/2025,6:38:17,,0:00:00,X,0,METR ORAS,4,2025-09-25 06:38:17,,0.0
20024003,CVA,OC-TER-CVA-SCIN-AU,AGUA CONTRAINCENDIOS,TUBERIA ENTRADA AGUA IND ODC-OCENSA,,10048564.0,S_FE,236467,m2,rociadores obstruidos del tk-12030,25/09/2025,PO-E-110,Sub. Refrigeración,E114,Tubería,SA-I-PI,PLU3,Obstrucción Tubería por Agente Interno,,0,,nan,25/09/2025,6:48:41,,0:00:00,X,0,METR ORAS,4,2025-09-25 06:48:41,,0.0
20024003,CVA,OC-TER-CVA-SCIN-AU,AGUA CONTRAINCENDIOS,TUBERIA ENTRADA AGUA IND ODC-OCENSA,,70015692.0,S_FE,236469,m2,rociadores obstruidos tq-55000,25/09/2025,PO-E-110,Sub. Refrigeración,E114,Tubería,SA-I-PI,PLU3,Obstrucción Tubería por Agente Interno,,0,,nan,25/09/2025,7:01:23,,0:00:00,X,0,METR ORAS,4,2025-09-25 07:01:23,,0.0
20024004,CVA,OC-TER-CVA-SCIN-ES,ESPUMA CONTRAINCENDIOS,TUBERIA DISTRIBUCION AGUAESPUMA,,70018898.0,S_FE,236465,m2,camaras de espuma obstruidas tk-12010,25/09/2025,PO-S-100,Sub. de Espuma,S100,Cámara de Espuma,SA-I-PI,PLU3,Obstrucción Tubería por Agente Interno,,0,,nan,25/09/2025,6:29:44,,0:00:00,X,0,METR ORAS,4,2025-09-25 06:29:44,,0.0
20024004,CVA,OC-TER-CVA-SCIN-ES,ESPUMA CONTRAINCENDIOS,TUBERIA DISTRIBUCION AGUAESPUMA,,10048565.0,S_FE,236468,m2,camaras de espuma obstruisas tk12030,25/09/2025,PO-S-100,Sub. de Espuma,S100,Cámara de Espuma,SA-I-PI,PLU3,Obstrucción Tubería por Agente Interno,,0,,nan,25/09/2025,6:54:37,,0:00:00,X,0,METR ORAS,4,2025-09-25 06:54:37,,0.0
20010257,CVA,OC-TER-CVA-PALM-MU73,MÚLTIPLE DE ALMACENAMIENTO MU73,VALVULA MOV_20x150- LIN 710-MU73,45005242.0,10048554.0,S_VA,236458,m2,mov 731205 presenta falla d comunicacion,24/09/2025,PO-I-040,Sub. Control y Monitoreo,I045,Tubería / Válvulas,SA-S-VA,AIR2,Falsa alarma e indicación,,0,,nan,24/09/2025,6:01:21,,0:00:00,X,0,METR ORAS,2,2025-09-24 06:01:21,,0.0
20010299,CVA,OC-TER-CVA-PALM-MU73,MÚLTIPLE DE ALMACENAMIENTO MU73,VALVULA MOV_20x150- LIN 710-MU73,45005256.0,10048560.0,S_VA,236460,m2,falla tarjeta comunicacion mov-731106,24/09/2025,PO-I-040,Sub. Control y Monitoreo,I043,Monitoreo (PLC - Tarjetas - sensores),SA-S-CM,FTF4,Falla de Control,,0,,nan,24/09/2025,7:28:36,,0:00:00,X,0,METR ORAS,2,2025-09-24 07:28:36,,0.0
20008866,EPO,OC-EST-EPO-PMED-CA38000,MEDICIÓN CALIDAD CA38000,VALVULA CTRL PRES LOOP CALIDAD 38,45003458.0,10048573.0,S_VA,236462,m2,falla valvula 4 vias probador de altos,24/09/2025,PO-S-060,Sub. Válvulas,S065,Elemento de cierre,SA-S-VA,FTC1,No cierra cuando se da la orden,,0,,nan,24/09/2025,17:15:57,,0:00:00,X,0,METR ORAS,3,2025-09-24 17:15:57,,0.0
20016387,EPO,OC-EST-EPO-AGEN-GE22110,GENERADOR PRINCIPAL 10,TURBINA GAS MULTIET. GE10 12.9 MW,42003489.0,10048555.0,R_ST,236459,m2,fuga de gases calientes tg10,24/09/2025,PO-R-130,Sub. Turbina,R134,Sellos,SA-R-ST,OHE1,Alta temperatura,,0,,nan,24/09/2025,7:22:28,,0:00:00,X,0,METR ORAS,3,2025-09-24 07:22:28,,0.0
20009845,CCA,OC-EST-CCA-ACOM-CR,SISTEMA DE CRUDO COMBUSTIBLE,BOMBA CENTRIFUGA BC-52100,42004937.0,10048553.0,R_PU,236456,m2,coregir goteo bc 5211,23/09/2025,PO-R-040,Sub. Bombeo - Mezcla Fluidos,R047,Sellos,SA-R-PU,ELP2,Fuga externa crudo - Fluido Proceso,,0,,nan,23/09/2025,14:23:37,,0:00:00,X,0,METR ORAS,2,2025-09-23 14:23:37,,0.0
20011684,CVA,OC-TER-CVA-AELE-BTDICOV,BAJA TENSIÓN DICOV,CENTRO CONTROL MOTORES 20400,42005164.0,,E_MC,236455,m2,hallazgo goteras ccm 20400 dicov cva,23/09/2025,PO-U-070,Sub. Misceláneos,U070,Anclaje / Porta-lampara / Base,SA-U-OC,STD1,"Daño material, grietas, desgaste, corr.",,0,,nan,23/09/2025,8:52:13,,0:00:00,X,0,MEAB,3,2025-09-23 08:52:13,,0.0
20001364,VSA,OC-EST-VSA-ADRE-DC,DRENAJE CERRADO,SUMIDERO CONCR DC MEDICIÓN 3600,45004539.0,10048504.0,U_OC,236398,m2,taponamiento drenaje ms3600,2/09/2025,PO-U-070,Sub. Misceláneos,U072,Tubería / Válvulas,SA-U-OC,PLU3,Obstrucción Tubería por Agente Interno,C340,1,Desgaste normal del equipo,desgaste componentes,22/09/2025,8:00:00,23/09/2025,0:00:00,X,16,MECE ORAS,2,2025-09-22 08:00:00,2025-09-23 00:00:00,
20010440,EPO,OC-EST-EPO-ACOM-MZ1,CRUDO MEZCLA,AGITADOR MECANICO AGITADOR TC52080,45006473.0,10048552.0,I_MI,236450,m2,goteo de producto agitador tc-52080,22/09/2025,PO-I-010,Sub. Estructura e Internos,I017,Sellos / Juntas,SA-I-MI,ELP2,Fuga externa crudo - Fluido Proceso,,0,,nan,22/09/2025,8:52:04,,0:00:00,X,0,METR ORAS,1,2025-09-22 08:52:04,,0.0
20001215,VSA,OC-EST-VSA-SALV-PR,ALIVIO PRESIÓN,VAL SEG PSV-2307A FILTRO FASE I A MS7310,45004270.0,10048583.0,S_VS,236448,m2,falla psv 2307a,21/09/2025,PO-S-060,Sub. Válvulas,S067,Sellos,SA-S-VS,SPO1,Operación inesperada,,0,,nan,21/09/2025,4:42:16,,0:00:00,X,0,METR ORAS,4,2025-09-21 04:42:16,,0.0
20023579,EPO,OC-EST-EPO-AELE-BTBPC,BAJA TENSIÓN BOMBAS PRINCIPALES,TABLERO ELECT DISTRIBUCION VFD42080,,10048398.0,E_EP,236279,m2,falla interruptor bpc-42080,6/08/2025,PO-E-010,Sub. Circuito Alimentación,E014,Interruptor,SA-E-EP,FOV1,Voltaje salida equivocado o inestable,,0,,nan,19/09/2025,10:00:00,19/09/2025,11:00:00,X,1,METR ORAS,2,2025-09-19 10:00:00,2025-09-19 11:00:00,1.0
20002897,EPO,OC-EST-EPO-ADRE-DC,DRENAJE CERRADO,SUMIDERO ACERO DC BOOSTER,45006440.0,10045716.0,U_OC,233218,m2,sumidero tu-53300,25/09/2023,PO-U-070,Sub. Misceláneos,U072,Tubería / Válvulas,SA-U-OC,STD1,"Daño material, grietas, desgaste, corr.",C340,1,Desgaste normal del equipo,falla en la bomba neumatica,17/09/2025,7:00:00,17/09/2025,14:00:00,X,7,METR ORAS,2,2025-09-17 07:00:00,2025-09-17 14:00:00,7.0
20017117,CQO,OC-EST-CQO-AGEN-ACTE,S. ACEITE TERMICO GENERACION,TANQUE ACEITE TERMICO EXPANSION,42004426.0,10048549.0,I_TA,236432,m2,humedecimiento tanque aceite termico exp,17/09/2025,PO-S-120,Sub. Misceláneos,S127,Tanque o Piscina,SA-I-HB,STD1,"Daño material, grietas, desgaste, corr.",,0,,nan,17/09/2025,14:19:15,,0:00:00,X,0,METR ORAS,1,2025-09-17 14:19:15,,0.0
20016058,PAE,OC-EST-PAE-SCTR-DCS,SISTEMA DE CONTROL DISTRIBUIDO,UPS #2 20 KVA SHELTER SIS CONTROL,42003345.0,10048530.0,E_UP,236429,m2,falla baterias ups #2 20 kva sis control,17/09/2025,PO-E-080,Sub. Batería,E080,Banco de Baterías,SA-E-UP,FOV1,Voltaje salida equivocado o inestable,,0,,nan,17/09/2025,9:10:27,,0:00:00,X,0,METR ORAS,2,2025-09-17 09:10:27,,0.0
20021512,PAE,OC-EST-PAE-SCTR-TEL,SISTEMA DE TELECOMUNICACION,UPS #1 10 KVA SHELTER SIS COMUNIC,42004668.0,10048531.0,E_UP,236430,m2,falla baterias ups ups #1 10 kva comunic,17/09/2025,PO-E-080,Sub. Batería,E080,Banco de Baterías,SA-E-UP,FOV1,Voltaje salida equivocado o inestable,,0,,nan,17/09/2025,9:18:46,,0:00:00,X,0,METR ORAS,2,2025-09-17 09:18:46,,0.0
20021513,PAE,OC-EST-PAE-SCTR-TEL,SISTEMA DE TELECOMUNICACION,UPS #2 10 KVA SHELTER SIS COMUNIC,42004669.0,10048532.0,E_UP,236431,m2,falla baterias ups ups #2 10 kva comunic,17/09/2025,PO-E-080,Sub. Batería,E080,Banco de Baterías,SA-E-UP,FOV1,Voltaje salida equivocado o inestable,,0,,nan,17/09/2025,9:21:14,,0:00:00,X,0,METR ORAS,2,2025-09-17 09:21:14,,0.0
20005573,CVA,OC-TER-CVA-PMED-CA36000,MEDICIÓN CALIDAD CA36000,ANALIZADOR CALIDAD MS36000,45005497.0,10048528.0,S_IN,236428,m2,falla tomamuestra de recibo 36000,16/09/2025,PO-S-120,Sub. Misceláneos,S128,Tubería / Válvulas,SA-S-IN,SER1,Piezas Mecánicas Sueltas,C340,1,Desgaste normal del equipo,falla tomamuestra de recibo 36000,16/09/2025,7:00:00,16/09/2025,16:48:00,X,"9,8",MECE ORAS,2,2025-09-16 07:00:00,2025-09-16 16:48:00,9.8
20025957,EPO,OC-EST-EPO-UENF-CCMPRINCIPAL,PAQUETE ENFRIAMIENTO CCM PRINCIPAL,AIRE AC SPLIT/VENT PQTE A CCM PRINCIPAL,,10048395.0,U_AI,236276,m2,alta temperatura vfd-42010,6/08/2025,PO-U-010,Sub. Aire Acondicionado,U013,Unidad Condensadora,SA-U-AI,FTF1,No resp bajo demanda o señal en emerg.,,0,,nan,15/09/2025,7:00:00,15/09/2025,9:00:00,X,2,METR ORAS,2,2025-09-15 07:00:00,2025-09-15 09:00:00,2.0
20001698,VSA,OC-EST-VSA-PMED-BE3680,BRAZO MEDICIÓN DE ENTRADA BE3680,VALVULA MOV_8X600- ENT 220-BE3680,45004427.0,10048443.0,S_VA,236317,m2,pase valvula mov-3680,13/08/2025,PO-S-060,Sub. Válvulas,S063,Cuerpo de la Válvula,SA-S-VA,INP1,Pase interno,,0,,nan,15/09/2025,7:00:00,15/09/2025,7:00:00,,0,MECE ORAS,2,2025-09-15 07:00:00,2025-09-15 07:00:00,0.0
20006302,CUP,OC-EST-CUP-PALM-TK50001,TANQUE DE ALMACENAMIENTO TK50001,MOTOR ELECT AGITADOR B TQ5001,45004105.0,10048526.0,R_EM,236426,m2,falla agm-5001b_no arranca,15/09/2025,PO-R-110,Sub. Motor Eléctrico,R110,Estator,SA-R-EM,LOO3,Salida por Baja Potencia,,0,,nan,15/09/2025,15:41:06,,0:00:00,X,0,METR ORAS,1,2025-09-15 15:41:06,,0.0
20023699,EPO,OC-EST-EPO-AAGU-PO,AGUA POTABLE,PLANTA TRAT AGUA POTABGEN,42005196.0,10048533.0,A_TP,236425,m2,fuga agua hidroflo planta ptap,15/09/2025,PO-A-010,Sub. Mecánico,A011,Bomba,SA-A-TP,STD1,"Daño material, grietas, desgaste, corr.",,0,,nan,15/09/2025,5:53:57,,0:00:00,X,0,METR ORAS,1,2025-09-15 05:53:57,,0.0
20010639,CVA,OC-TER-CVA-PMED-BS38060,BRAZO MEDICIÓN SALIDA BS38060,VALVULA MOV_16x150- DES 710-BS38060,45005494.0,10048267.0,S_VA,236145,m2,atascada hv entrada brazo 6 ms-38000,1/07/2025,PO-S-060,Sub. Válvulas,S063,Cuerpo de la Válvula,SA-S-VM,FTO1,No abre cuando se da la orden,C340,1,Desgaste normal del equipo,atascada hv entrada brazo 6 ms-38000,12/09/2025,7:00:00,12/09/2025,16:48:00,X,"9,8",MECE ORAS,2,2025-09-12 07:00:00,2025-09-12 16:48:00,9.8
20004226,MRF,OC-EST-MRF-AGEN-GE402,GENERADOR AUXILIAR 402 FI,MOTOR DIESEL GE-402 FASE I,42002859.0,10048492.0,R_CE,236376,m2,generador 402 presenta fuga,28/08/2025,PO-R-090,Sub. Refrigeración,R095,Tubería / Válvulas,SA-R-CE,STD1,"Daño material, grietas, desgaste, corr.",C540,1,Causa Desconocida,generador 402 presenta fuga,12/09/2025,7:00:00,12/09/2025,10:30:00,X,"3,5",MECE ORAS,2,2025-09-12 07:00:00,2025-09-12 10:30:00,3.5
20027418,CVA,OC-TER-CVA-SCTR-RAC,RACK DE CONTROL,SISTEMA DE CONTROL TANK RADAR,,10048593.0,S_CU,236508,m2,falla comunicación tank master,3/10/2025,PO-S-170,Sub. Software de control y monitoreo,S173,Equipo Computo,SA-S-CU,FTF4,Falla de Control,,0,,nan,12/09/2025,18:00:00,,0:00:00,X,0,METR ORAS,,2025-09-12 18:00:00,,0.0
20016418,CVA,OC-TER-CVA-UENF-PQ42020,PAQUETE DE ENFRIAMIENTO VFD42020,AIRE AC SPLIT/VENT PQE A VFD42020,42005047.0,10048238.0,U_AI,236121,m2,falla paquete aa vfd-42020,21/06/2025,PO-U-010,Sub. Aire Acondicionado,U010,Compresor,SA-U-AI,FTF1,No resp bajo demanda o señal en emerg.,C340,1,Desgaste normal del equipo,falla paquete aa vfd-42020,11/09/2025,8:00:00,11/09/2025,17:00:00,X,9,MECE ORAS,2,2025-09-11 08:00:00,2025-09-11 17:00:00,9.0
20021069,GRA,OC-EST-GRA-AELE-MTGE,SISTEMA MEDIA TENSIÓN GENERACION,CENTRO CTRL MOTORES GENERACION,42004822.0,10047747.0,Z_XXXX,235590,m2,perdida de com.  celda 6.9 kv  e-house,9/02/2025,PO-E-020,Sub. Control y monitoreo / Protección,E026,Protecciones Eléctricas,SA-E-SG,AIR1,"Falsa alarma, indic. defectuosa de inst.",,0,,nan,10/09/2025,7:00:00,10/09/2025,17:00:00,X,10,MECE ORAS,3,2025-09-10 07:00:00,2025-09-10 17:00:00,10.0
20021069,GRA,OC-EST-GRA-AELE-MTGE,SISTEMA MEDIA TENSIÓN GENERACION,CENTRO CTRL MOTORES GENERACION,42004822.0,10047633.0,Z_XXXX,235431,m2,perdida de com. interup.  6.9 kv e-house,29/12/2024,PO-E-060,Sub. Bus DC,E066,Interruptor,SA-E-MC,AIR1,"Falsa alarma, indic. defectuosa de inst.",,0,,nan,9/09/2025,8:00:00,9/09/2025,16:00:00,X,8,MECE ORAS,3,2025-09-09 08:00:00,2025-09-09 16:00:00,8.0
20003398,EPO,OC-EST-EPO-ACOM-MZ,CRUDO MEZCLA TRATADA (D),TANQUE CRUDO TC310,45003329.0,10048161.0,I_TA,236035,m2,"humedecimiento crudo v/v 4""x150",29/05/2025,PO-I-020,Sub. Externo,I027,Tubería / Válvulas,SA-I-TA,SER1,Piezas Mecánicas Sueltas,C340,1,Desgaste normal del equipo,se evidencia humedad,8/09/2025,11:30:00,8/09/2025,17:00:00,X,"5,5",MECE ORAS,2,2025-09-08 11:30:00,2025-09-08 17:00:00,5.5
20022014,MRF,OC-EST-MRF-SCIN-DT,DETECTORES CONTRAINCENDIOS,PANEL SCI MONITOREADO_AREA 05,,10048489.0,S_FD,236400,m2,fare y gas sistema sin comunicaciones,3/09/2025,PO-S-010,Sub. Control y monitoreo,S013,Circuitos o Componentes electrónicos,SA-S-FD,AIR2,Equipos FireFalsa alarma e indicación Gas - Detecc.,C540,1,Causa Desconocida,fare y gas sistema sin comunicaciones,8/09/2025,8:00:00,8/09/2025,16:00:00,X,8,MECE ORAS,4,2025-09-08 08:00:00,2025-09-08 16:00:00,8.0
20003005,EPO,OC-EST-EPO-PALM-CPAL,CONEXIÓN ALMACENAMIENTO,TRANSMISOR FLUJO 14 LINEA TANQUES,,10048522.0,S_IN,236406,m2,falla estado valvula  pv-250114-a,7/09/2025,PO-S-010,Sub. Control y monitoreo,S017,Unidad Central de Proceso (CPU),SA-S-IN,FTF2,No resp bajo demanda o señal en Operac,,0,,nan,7/09/2025,13:00:20,,0:00:00,X,0,METR ORAS,2,2025-09-07 13:00:20,,0.0
20010472,EPO,OC-EST-EPO-ACOM-SEII,SEPARADOR CRUDO PRINCIPAL FASE II,MODULO SEP CENTRIF. FASE II PRINCIPAL,45002721.0,10048524.0,R_MS,236407,m2,separador b-alta cte alfa laval 52300,7/09/2025,PO-R-030,Sub. Control y Monitoreo,R030,Cableado y Caja de Conexiones,SA-R-MS,AIR1,"Falsa alarma, indicador defectuoso.",,0,,nan,7/09/2025,17:42:11,,0:00:00,X,0,METR ORAS,1,2025-09-07 17:42:11,,0.0
